,date,open,close,high,low,volume,code
1404,2007-09-26,-60.184,-55.172,-53.805,-60.184,30959.59,sh600519
1405,2007-09-27,-55.18,-54.864,-53.805,-57.524,12714.7,sh600519
1406,2007-09-28,-54.947,-51.574,-49.973,-55.293,26937.13,sh600519
1407,2007-10-08,-50.777,-54.068,-48.313,-54.181,23392.8,sh600519
1408,2007-10-09,-54.556,-45.345,-43.662,-54.556,37710.99,sh600519
1409,2007-10-10,-43.88,-41.055,-38.103,-46.668,22651.11,sh600519
1410,2007-10-11,-40.777,-34.444,-31.641,-41.033,30558.29,sh600519
1411,2007-10-12,-33.069,-30.281,-29.079,-38.403,26009.08,sh600519
1412,2007-10-15,-32.317,-22.941,-18.869,-32.317,20908.12,sh600519
1413,2007-10-16,-22.633,-25.608,-22.633,-28.546,21093.53,sh600519
1414,2007-10-17,-26.382,-27.885,-26.382,-28.636,14707.72,sh600519
1415,2007-10-18,-30.379,-31.799,-27.885,-33.895,19954.08,sh600519
1416,2007-10-19,-32.017,-29.267,-24.879,-32.017,17728.68,sh600519
1417,2007-10-22,-30.89,-30.206,-27.885,-32.768,7797.37,sh600519
1418,2007-10-23,-26.758,-23.377,-19.62,-26.908,22290.93,sh600519
1419,2007-10-24,-23.339,-20.379,-15.112,-37.502,25469.44,sh600519
1420,2007-10-25,-22.626,-19.057,-15.864,-24.879,20353.28,sh600519
1421,2007-10-26,-21.318,-18.088,-17.366,-25.541,20010.33,sh600519
1422,2007-10-29,-19.613,-21.318,-16.239,-22.716,11073.61,sh600519
1423,2007-10-30,-20.357,-23.828,-18.884,-26.885,12564.86,sh600519
1424,2007-10-31,-23.52,-21.115,-20.071,-23.52,10814.22,sh600519
1425,2007-11-01,-19.996,-25.766,-19.996,-26.457,9620.49,sh600519
1426,2007-11-02,-27.133,-26.329,-25.789,-30.89,13835.8,sh600519
1427,2007-11-05,-26.382,-27.877,-24.879,-29.387,5279.3,sh600519
1428,2007-11-06,-29.327,-27.937,-25.165,-29.327,2459.19,sh600519
1429,2007-11-07,-27.509,-30.379,-25.631,-31.341,9085.71,sh600519
1430,2007-11-08,-30.349,-33.88,-29.395,-35.39,5723.11,sh600519
1431,2007-11-09,-35.383,-35.759,-31.416,-36.525,5126.65,sh600519
1432,2007-11-12,-35.691,-36.66,-34.947,-38.779,15224.22,sh600519
1433,2007-11-13,-35.398,-31.055,-27.171,-35.398,23911.44,sh600519
1434,2007-11-14,-31.055,-24.151,-23.865,-31.055,11164.03,sh600519
1435,2007-11-15,-24.076,-26.382,-24.076,-26.983,10557.82,sh600519
1436,2007-11-16,-26.758,-29.395,-26.758,-29.898,3715.66,sh600519
1437,2007-11-19,-29.387,-27.509,-24.879,-31.191,5397.34,sh600519
1438,2007-11-20,-27.509,-25.24,-24.879,-27.885,9472.92,sh600519
1439,2007-11-21,-24.879,-25.954,-23.903,-27.524,12411.0,sh600519
1440,2007-11-22,-27.885,-30.695,-26.382,-31.063,7726.89,sh600519
1441,2007-11-23,-30.89,-33.895,-28.636,-35.022,7692.24,sh600519
1442,2007-11-26,-31.266,-29.898,-29.402,-33.144,8656.49,sh600519
1443,2007-11-27,-30.214,-27.795,-26.382,-32.017,11036.38,sh600519
1444,2007-11-28,-29.237,-31.919,-27.734,-35.398,11406.0,sh600519
1445,2007-11-29,-33.129,-32.776,-30.146,-35.037,18463.21,sh600519
1446,2007-11-30,-31.04,-34.278,-31.04,-34.647,14272.92,sh600519
1447,2007-12-03,-35.0,-33.805,-33.144,-35.022,8515.64,sh600519
1448,2007-12-04,-33.52,-32.017,-30.514,-33.52,9009.89,sh600519
1449,2007-12-05,-31.942,-27.126,-25.631,-31.942,9929.85,sh600519
1450,2007-12-06,-25.653,-26.097,-25.653,-28.26,5273.99,sh600519
1451,2007-12-07,-25.713,-19.59,-18.869,-25.713,11615.19,sh600519
1452,2007-12-11,-15.112,-13.069,-9.703,-15.488,29702.27,sh600519
1453,2007-12-12,-13.309,-13.009,-9.703,-14.391,25281.87,sh600519
1454,2007-12-13,-14.361,-13.993,-11.731,-16.615,17437.49,sh600519
1455,2007-12-14,-15.112,-2.34,-0.928,-16.592,16003.46,sh600519
